Application mode,Graduate,Dropout,Enrolled,Graduate_pct,Dropout_pct,Enrolled_pct,total
1,1063,345,300,62.24,20.2,17.56,1708
2,1,2,0,33.33,66.67,0.0,3
5,6,2,8,37.5,12.5,50.0,16
7,47,85,7,33.81,61.15,5.04,139
10,7,3,0,70.0,30.0,0.0,10
15,15,5,10,50.0,16.67,33.33,30
16,25,5,8,65.79,13.16,21.05,38
17,457,256,159,52.41,29.36,18.23,872
18,63,45,16,50.81,36.29,12.9,124
26,0,1,0,0.0,100.0,0.0,1
27,0,1,0,0.0,100.0,0.0,1
39,229,435,121,29.17,55.41,15.41,785
42,32,34,11,41.56,44.16,14.29,77
43,122,115,75,39.1,36.86,24.04,312
44,94,63,56,44.13,29.58,26.29,213
51,26,20,13,44.07,33.9,22.03,59
53,21,4,10,60.0,11.43,28.57,35
57,1,0,0,100.0,0.0,0.0,1
