Course,Graduate,Dropout,Enrolled,Graduate_pct,Dropout_pct,Enrolled_pct,total
33,1,8,3,8.33,66.67,25.0,12
171,96,82,37,44.65,38.14,17.21,215
8014,123,71,21,57.21,33.02,9.77,215
9003,87,86,37,41.43,40.95,17.62,210
9070,133,51,42,58.85,22.57,18.58,226
9085,172,90,75,51.04,26.71,22.26,337
9119,14,92,64,8.24,54.12,37.65,170
9130,42,78,21,29.79,55.32,14.89,141
9147,138,134,108,36.32,35.26,28.42,380
9238,248,65,42,69.86,18.31,11.83,355
9254,115,96,41,45.63,38.1,16.27,252
9500,548,118,100,71.54,15.4,13.05,766
9556,36,33,17,41.86,38.37,19.77,86
9670,125,95,48,46.64,35.45,17.91,268
9773,196,101,34,59.21,30.51,10.27,331
9853,57,85,50,29.69,44.27,26.04,192
9991,78,136,54,29.1,50.75,20.15,268
