Previous qualification,Graduate,Dropout,Enrolled,Graduate_pct,Dropout_pct,Enrolled_pct,total
1,1941,1078,698,52.22,29.0,18.78,3717
2,6,16,1,26.09,69.57,4.35,23
3,47,75,4,37.3,59.52,3.17,126
4,3,4,1,37.5,50.0,12.5,8
5,0,1,0,0.0,100.0,0.0,1
6,8,7,1,50.0,43.75,6.25,16
9,0,11,0,0.0,100.0,0.0,11
10,1,3,0,25.0,75.0,0.0,4
12,13,26,6,28.89,57.78,13.33,45
14,0,1,0,0.0,100.0,0.0,1
15,1,1,0,50.0,50.0,0.0,2
19,45,104,13,27.78,64.2,8.02,162
38,3,3,1,42.86,42.86,14.29,7
39,95,69,55,43.38,31.51,25.11,219
40,20,14,6,50.0,35.0,15.0,40
42,22,6,8,61.11,16.67,22.22,36
43,4,2,0,66.67,33.33,0.0,6
