Course,n_students,dropout_pct,graduate_pct,enrolled_pct,avg_sem2_grade,avg_admission_grade
33,12,66.67,8.33,25.0,8.995,118.558
171,215,38.14,44.65,17.21,2.083,136.156
8014,215,33.02,57.21,9.77,9.796,122.177
9003,210,40.95,41.43,17.62,9.477,132.756
9070,226,22.57,58.85,18.58,11.196,128.889
9085,337,26.71,51.04,22.26,11.161,131.174
9119,170,54.12,8.24,37.65,8.788,126.399
9130,141,55.32,29.79,14.89,9.684,132.407
9147,380,35.26,36.32,28.42,9.704,122.834
9238,355,18.31,69.86,11.83,11.115,125.578
9254,252,38.1,45.63,16.27,9.929,121.572
9500,766,15.4,71.54,13.05,12.355,127.259
9556,86,38.37,41.86,19.77,9.766,123.088
9670,268,35.45,46.64,17.91,10.683,121.463
9773,331,30.51,59.21,10.27,11.036,127.959
9853,192,44.27,29.69,26.04,10.566,123.163
9991,268,50.75,29.1,20.15,9.224,130.235
