Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,f_a_age_group,f_a_admission_band,f_a_prev_qual_band,f_a_financial_risk,f_a_parental_edu_level,f_a_is_mature_student,f_a_first_choice,f_a_attended_daytime,f_a_prior_higher_edu,f_a_domestic_student,admission_grade_band,age_group,financial_risk,f_b_sem1_pass_rate,f_b_sem2_pass_rate,f_b_sem1_evaluation_rate,f_b_sem2_evaluation_rate,f_b_academic_progress,f_b_academic_performance_score,f_b_sem1_engagement,f_b_sem2_engagement,f_b_no_evaluation_flag,f_b_credited_ratio,f_b_grade_improvement,f_b_total_units_approved,f_b_total_units_enrolled,semester_1_pass_rate,semester_2_pass_rate,semester_1_evaluation_rate,semester_2_evaluation_rate,academic_progress,academic_performance_score,attendance_mode,early_admission_risk,current_academic_risk
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,20-24,Q3,Q1,MEDIUM,15.5,1,0,1,0,1,Q3,20-24,MEDIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Daytime,MEDIUM,HIGH
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,15-19,Q4,Q4,HIGH,2.0,0,1,1,0,1,Q4,15-19,HIGH,1.0,1.0,1.0,1.0,1.0,13.833333333333334,1.0,1.0,0,0.0,-0.3333333333333339,12,12,1.0,1.0,1.0,1.0,1.0,13.833333333333334,Daytime,LOW,LOW
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,15-19,Q2,Q1,HIGH,37.0,0,0,1,0,1,Q2,15-19,HIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,Daytime,MEDIUM,HIGH
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,20-24,Q2,Q1,MEDIUM,37.5,1,0,1,0,1,Q2,20-24,MEDIUM,1.0,0.8333333333333334,1.3333333333333333,1.6666666666666667,0.9166666666666666,12.961038961038959,1.3333333333333333,1.6666666666666667,0,0.0,-1.0285714285714285,11,12,1.0,0.8333333333333334,1.3333333333333333,1.6666666666666667,0.9166666666666666,12.961038961038959,Daytime,HIGH,MEDIUM
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,40+,Q4,Q1,MEDIUM,37.5,1,1,0,0,1,Q4,40+,MEDIUM,0.8333333333333334,1.0,1.5,1.0,0.9166666666666666,12.696969696969699,1.5,1.0,0,0.0,0.6666666666666661,11,12,0.8333333333333334,1.0,1.5,1.0,0.9166666666666666,12.696969696969699,Evening,LOW,MEDIUM
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,40+,Q1,Q2,HIGH,37.0,1,1,0,0,1,Q1,40+,HIGH,1.0,1.0,2.0,3.4,1.0,11.678571428571429,2.0,3.4,0,0.0,-0.35714285714285765,10,10,1.0,1.0,2.0,3.4,1.0,11.678571428571429,Evening,HIGH,LOW
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,15-19,Q3,Q4,LOW,28.5,0,1,1,0,1,Q3,15-19,LOW,1.0,1.0,1.2857142857142858,1.0,1.0,13.857333333333335,1.2857142857142858,1.0,0,0.0,1.045,15,15,1.0,1.0,1.2857142857142858,1.0,1.0,13.857333333333335,Daytime,MEDIUM,LOW
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,20-24,Q1,Q1,HIGH,37.0,1,0,1,0,1,Q1,20-24,HIGH,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,10,0.0,0.0,1.0,1.0,0.0,0.0,Daytime,HIGH,HIGH
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,20-24,Q3,Q3,LOW,1.0,1,0,1,0,0,Q3,20-24,LOW,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0,14.008928571428571,1.3333333333333333,1.1666666666666667,0,0.0,0.26785714285714235,12,12,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0,14.008928571428571,Daytime,MEDIUM,LOW
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,15-19,Q2,Q3,HIGH,10.0,0,1,1,0,1,Q2,15-19,HIGH,0.8333333333333334,0.3333333333333333,1.5,2.3333333333333335,0.5833333333333334,12.0,1.5,2.3333333333333335,0,0.0,2.0999999999999996,7,12,0.8333333333333334,0.3333333333333333,1.5,2.3333333333333335,0.5833333333333334,12.0,Daytime,MEDIUM,HIGH
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,15-19,Q3,Q3,MEDIUM,28.5,0,1,1,0,1,Q3,15-19,MEDIUM,1.0,0.8333333333333334,1.0,1.1666666666666667,0.9166666666666666,13.181818181818182,1.0,1.1666666666666667,0,0.0,1.8666666666666654,11,12,1.0,0.8333333333333334,1.0,1.1666666666666667,0.9166666666666666,13.181818181818182,Daytime,MEDIUM,MEDIUM
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,15-19,Q2,Q3,LOW,28.5,0,1,1,0,1,Q2,15-19,LOW,0.875,0.875,1.0,1.0,0.875,13.214285714285714,1.0,1.0,0,0.0,0.0,14,16,0.875,0.875,1.0,1.0,0.875,13.214285714285714,Daytime,HIGH,MEDIUM
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,15-19,Q3,Q2,MEDIUM,28.0,0,0,1,0,1,Q3,15-19,MEDIUM,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,12,0.0,0.0,1.0,0.0,0.0,0.0,Daytime,MEDIUM,HIGH
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,20-24,Q1,Q1,LOW,1.0,1,1,1,1,1,Q1,20-24,LOW,1.0,0.8333333333333334,1.1666666666666667,1.3333333333333333,0.9166666666666666,10.766233766233766,1.1666666666666667,1.3333333333333333,0,0.0,0.4285714285714288,11,12,1.0,0.8333333333333334,1.1666666666666667,1.3333333333333333,0.9166666666666666,10.766233766233766,Daytime,HIGH,MEDIUM
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,15-19,Q4,Q4,LOW,37.5,0,1,1,0,1,Q4,15-19,LOW,0.8,1.0,1.4,1.0,0.9,12.555555555555555,1.4,1.0,0,0.0,-1.25,9,10,0.8,1.0,1.4,1.0,0.9,12.555555555555555,Daytime,LOW,MEDIUM
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,20-24,Q2,Q2,MEDIUM,28.0,1,1,1,0,1,Q2,20-24,MEDIUM,0.8333333333333334,0.0,1.0,1.1666666666666667,0.4166666666666667,13.2,1.0,1.1666666666666667,0,0.0,0.0,5,12,0.8333333333333334,0.0,1.0,1.1666666666666667,0.4166666666666667,13.2,Daytime,MEDIUM,HIGH
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,15-19,Q4,Q3,MEDIUM,28.5,0,1,1,0,1,Q4,15-19,MEDIUM,0.16666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.25,11.333333333333334,1.6666666666666667,2.3333333333333335,0,0.0,-1.0,3,12,0.16666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.25,11.333333333333334,Daytime,LOW,HIGH
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,15-19,Q3,Q3,MEDIUM,10.0,0,0,1,0,1,Q3,15-19,MEDIUM,1.0,1.0,1.1428571428571428,1.0,1.0,13.966916666666666,1.1428571428571428,1.0,0,0.0,1.2387499999999996,15,15,1.0,1.0,1.1428571428571428,1.0,1.0,13.966916666666666,Daytime,MEDIUM,LOW
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,20-24,Q4,Q3,MEDIUM,11.0,1,1,1,0,1,Q4,20-24,MEDIUM,0.8,0.8,1.6,1.6,0.8,12.375,1.6,1.6,1,0.0,-0.25,8,10,0.8,0.8,1.6,1.6,0.8,12.375,Daytime,LOW,MEDIUM
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,15-19,Q2,Q3,MEDIUM,19.0,0,1,1,0,1,Q2,15-19,MEDIUM,0.8571428571428571,0.8571428571428571,1.0,1.1428571428571428,0.8571428571428571,12.583333333333334,1.0,1.1428571428571428,0,0.0,1.833333333333334,12,14,0.8571428571428571,0.8571428571428571,1.0,1.1428571428571428,0.8571428571428571,12.583333333333334,Daytime,MEDIUM,MEDIUM
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,20-24,Q2,Q1,LOW,1.0,1,0,1,0,1,Q2,20-24,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Daytime,MEDIUM,HIGH
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,20-24,Q2,Q2,MEDIUM,19.5,1,0,1,0,1,Q2,20-24,MEDIUM,1.0,1.0,2.0,1.125,1.0,11.430833333333334,2.0,1.125,0,0.0,-0.01249999999999929,15,15,1.0,1.0,2.0,1.125,1.0,11.430833333333334,Daytime,MEDIUM,LOW
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,15-19,Q2,Q4,MEDIUM,19.0,0,0,1,0,1,Q2,15-19,MEDIUM,0.875,0.875,1.5,1.5,0.875,12.857142857142858,1.5,1.5,0,0.0,0.0,14,16,0.875,0.875,1.5,1.5,0.875,12.857142857142858,Daytime,MEDIUM,MEDIUM
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,15-19,Q1,Q1,LOW,19.5,0,0,1,0,1,Q1,15-19,LOW,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0,12.830357142857144,1.3333333333333333,1.1666666666666667,0,0.0,-1.0892857142857135,12,12,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0,12.830357142857144,Daytime,HIGH,LOW
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,15-19,Q2,Q2,MEDIUM,19.0,0,1,1,0,1,Q2,15-19,MEDIUM,0.8571428571428571,0.875,1.1428571428571428,1.125,0.8666666666666667,13.736923076923079,1.1428571428571428,1.125,0,0.0,0.8176190476190452,13,15,0.8571428571428571,0.875,1.1428571428571428,1.125,0.8666666666666667,13.736923076923079,Daytime,MEDIUM,MEDIUM
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,15-19,Q4,Q4,HIGH,28.5,0,1,1,0,1,Q4,15-19,HIGH,0.8333333333333334,0.6666666666666666,1.3333333333333333,2.0,0.75,11.333333333333334,1.3333333333333333,2.0,0,0.0,-0.5999999999999996,9,12,0.8333333333333334,0.6666666666666666,1.3333333333333333,2.0,0.75,11.333333333333334,Daytime,LOW,MEDIUM
